"publishedDate","lang","publishedPlatform","title","locationId","travelDate","tripType","rating","text"
"2024-10-01","en","MOBILE","Good food, tasty wine and nice staff","3643106","2024-10","COUPLES","5","We have been here many times and the food is always very good and tasty. The plates are accurate and the staff explains very well. 
The wine they gave us this last time, suggested by Sevastian was very delicious and a good alternative of Purcari which is served everywhere. 
We really enjoyed."
"2024-08-26","en","MOBILE","Bad employee","3643106","2024-08","FAMILY","1","Terrible employees, They were really rude, I had to cancel my order and leave immediately. 
Once I got into restaurant there were around 15 table all reserved already but It was just lie. They showed me a place at the corner and We seat to the table they showed. The waiter complained about my 2 years old son. He was always telling he can not do this and that. At the and I had to leave because of their behavior."
"2024-07-27","ru","OTHER","Много пафоса, но…","3643106","2024-05","FRIENDS","3","Посещение ресторана La Sarkis оставило двоякие впечатления. Из плюсов интерьер, который был достаточно уютным. Из минусов обслуживание, которое было слишком пренебрежительным, и кухня, которая оказалась не такой уж высокой, как ее позиционируют. Заказывал шашлык который был слишком сухой и никакой соус его спаси не мог. Блюда друзей тоже не вызвали особого восторга. Цены завышены. В общем много пафоса, а мало толку."
"2023-11-25","en","MOBILE","Nice place with good food - a great alternative to the Moldova and international Restaurants in town","3643106","2023-11","FRIENDS","4","A wonderful designed place with great inside and outside seating possibilities. The menu card offers a huge variety of Armenian and international dishes"
"2023-08-08","en","OTHER","Beware of crazy prices","3643106","2023-08","FRIENDS","1","Went there with 2 colleagues, Staff not welcoming. I asked for a ribeye steak, I had a quick look at the price as a foreigner and saw it was around 380 Lei which is around 20 euros. The waiter asked if I wanted the steak cooked medium, which I asked medium-rare. I thing he understood only the ""rare"" part as it was quite blue. The steak was good, but upon asking  for the bill I was quite shocked, The price was for 100 grams, so they charged me 100 euros!!!! I was talking to my colleagues in english (one of them speaks Romanian), the waiter saw that i was complaining about the price (not to him), so he went ahead and cut in the conversation to my colleague in romanian, telling her ""You foreigners think that you can come here and buy the whole country for 5 euros, those are the prices here and steaks are even more expensive in your country"" and then argued for 5 minutes with my colleage in romanian. Well sorry no, I am from Belgium and i travel a lot, it's the first time in my life that I am being served a 100 euros steak anywere ever. Sure I should have been more attentive as well, but it's a ripoff and the attitude given by the waiter in totally unacceptable. Avoid those scam restaurant at all cost"
"2023-02-20","ru","MOBILE","Подходит и для семьи и для бизнес встреч или ужинов","3643106","2023-02","BUSINESS","5","Очень советую этот ресторан. Ресторан для гурманов, очень все быстро и вкусно. Отдельно отмечу аджарские хачапури 👍🏻. Подача обслуживание на вычешем уровне , цены чуть высокие , но поверьте оно того стоит"
"2023-02-15","en","MOBILE","Superb!","3643106","2023-02","SOLO","5","Fabulous pan-Caucasian dishes, Armenian brandy, Moldovan wine in warm and sophisticated environment. Will certainly come back whenever in town!"
"2022-07-23","ru","MOBILE","Ресторан для гурманов и ценителей вкусной кухни.","3643106","2022-07","FAMILY","5","Ресторан класс люкс.
 Самые вкусные блюда.
Прекрасное обслуживание в режиме 24/7/365.
Калян на разные ароматы
Рекомендую
 "
"2022-05-28","ru","MOBILE","Очень 😋 вкусно","3643106","2022-05","FAMILY","5","Спасибо за всё 👍👍👍👍👍🧡🧡 уютно , вкусно и доброжелательная атмосфера. Обязательно зайдём к вам ещё 😊😊😊"
"2022-03-20","en","MOBILE","Terrible service and a hair in a desert","3643106","2022-03","FRIENDS","1","Don’t recommend!
Terrible service. Staff acts like they are owners and of this place and guest are no one. With out asking, bring additional things, and then include them in a bill. In a desert we found a hair, and a waiter started to argue with us and said, that it felt from our eyebrows or eyelashes. Terrible service."
"2022-01-22","en","MOBILE","Don't miss the Adjarian khachapuri, and take some earplugs. ","3643106","2022-01","COUPLES","4","The food was very good. I had the surf 'n turf which consisted of a filet mignon and three large prawns. They were perfect. My wife had the filet alone and was very happy. But the real surprise was the Adjarian khachapuri. We fell in love with khachapuri on a trip to Tbilisi. But the version here is really something special. The bread had a croissant-like consistency. Very flaky and delicious. 
The wine list was overwhelmingly Moldovan wines, but that's fine by me. I've come to learn on this trip that Moldova produces excellent varieties, along with some outstanding brandies.
Our waiter was attentive, helpful, friendly, and spoke very good English. They also had an English menu.
So why not 5 stars? The music. There was a live DJ ""mixing beats"" (or whatever it's called). It was loud and totally unsuitable for the overall ambiance of this place. This is a very nice restaurant with a tasteful decor which potentially would be quite romantic, but the music made it feel like a disco. Perhaps they're aiming at a younger crowd, but it definitely tainted our experience."
"2021-09-19","en","MOBILE","The ambience is quite amazing. The background Music is enjoyable  and you can  communicate with your friends.","3643106","2021-09","FRIENDS","5","Great treat&location for mid-upper class .
The waiter that evening is awesome 👏highly recommended for tourists who loved good foods we great ambiance"
"2021-07-23","en","OTHER","Stay away! Horribly expensive, had no idea about the price before the bill. 1602 lei for a steak. 267 lei for bread!","3643106","2021-07","FRIENDS","1","80€ for a steak. 1602 lei. 94$. FOR A STEAK.
In Chișinău, Moldova.
3 of us got dinner at La Sarkis on the 22/07/2021. Everything else was fine, but this really hurt. 

4 times a monthly salary here for a normal steak. 
A scandal! Could even be called a sc*m? For sure completely improper.

For this price you get the best piece of beef in MORTON'S, one of the best steakhouse in the world in... Hong Kong, one of the most expensive city in the world.
In downtown Paris, you would get the same piece, same quality for 40€. It wasn't kobe beef either. Called the cowboy steak, it was OK, nothing special. 

Granted, next to the item on the menu you get the price per 100g. But this price (215 Lei) being the price of a full steak in other restaurants, you assume it's the price of the all cut.
Then the waiter brings the cooked dish, not even mentioning its weight, which actually look like 400g with a big bone. So you get 300g of meat for 80€, a whopping 265€/kg!!! And they charge you for 600g. Which it wasn't. 

It should also be noted that we paid 267 Lei for bread, 13€. on the menu it's 18 lei which seems normal. But this is for one piece of bread, and they bring you 6 pieces. INCREDIBLE. 

We didn't take pictures unfortunately, because there was nothing to take picture about!

We think this is abusive and should be dealt with by the management of this place. Or maybe is it done on purpose to trap tourists?"
"2021-07-10","en","MOBILE","A great restaurant close to Valea Morilor Park","3643106","2021-07","SOLO","5","After a walk round Valea Morilor Park I decided to have brunch and stopped off at La Sarkis which looked appealing with indoor and outdoor seating areas. I had a good welcome and chose to sit outside. The menu was varied and reasonably priced, the service was good throughout and my meal and drinks arrived in good time. The restaurant was a good find and hopefully will return before I leave Chișinău.
"
"2021-07-04","ru","OTHER","Ужасно...","3643106","2021-07","FRIENDS","2","Ресторан претендует на ""а ля элита "". Порции ""Фэнси"",всё продаётся красиво,обслуживание на уровне. Но....музыка...эта ужасная музыка...которая должна располагать к отдыху и расслабухе,просто выносит мозг. Есть банкетный зал,где играет музыка и можно потанцевать,хорошая задумка,но...ребята, я пришла хорошо отдохнуть, поесть и пообщаться с друзьями. В результате, перекрикивыние,опухшое горло утром,хрипота.
К концу вечера ужасная головная боль и желание побыстрее сбежать. В зале,где люди приходят поесть и пообщаться предполагается фоновая музыка,но никак не доминирующая.
Не понравилось жуть..."
"2020-11-21","ru","OTHER","Достойный ресторан","3643106","2020-11","NONE","4","Много слышали, наконец решили зайти. Едва вышли из такси, подошла девушка, проверила резервацию, провела к столику.Через минуту у нас были меню - целое произведение печатного искусства. Как только мы созрели для заказа, подошел официант - аккуратный, компетентый и предупредительный..
Вино , показав, перелил в декантер -- браво!
Заказ подали быстро :  великолепный хачапури, армянский шашлык и овощи на гриле..
Одним словом, прекрасный сервис, отменная еда, уютный интерьер.. Дорого..
Жаль, ходили бы чаще.. Да, прекрасное вино Темпранило от Фэутора пили из бокаов Фэутор."
"2020-11-20","ru","MOBILE","Номер один","3643106","2020-11","FRIENDS","5","Номер один в Кишиневе. Терассы, ресторан, второй этаж. Большое число посадочных мест. Уютная атмосфера. Великолепный персонал. Идеальное место для выходного дня в компании друзей и для вкусного романтического ужина. Цены выше среднего. Завышены, но сервис и обслуживание этого стоит. Самый вкусный хачипури в городе! Каждый раз при выборе уютного места на вечер выходного дня, мы с друзьями выбираем именно La Sarkis. Главное успеть заранее забронировать столик!"
"2020-01-17","ru","MOBILE","1","3643106","2020-01","FRIENDS","5","Очень достойное место.
Вкусная еда, порции больше средней, приветливый персонал поможет определиться с выбором блюд, замечательная атмосфера.
Стоимость соответственно перечисленным преимуществам."
"2019-12-21","ru","MOBILE","Ужин с друзьями","3643106","2019-09","FRIENDS","5","Посетили данное заведение в конце сентября, приехали с женой к друзьям в гости. Решили вечером от ужинать и выбрали в приложении этот ресторан. Находится в парковой зоне что уже хорошо. Обслуживание на отлично, кухня хорошо можно было на отлично но одного блюда в меню не оказалось это не очень хорошо. А так в целом хорошее заведение где можно хорошо провести время."
"2019-09-10","it","MOBILE","Locale di tendenza ","3643106","2019-09","BUSINESS","4","Un locale arredato con gusto, specialità tipiche Moldave preparate con sapiente maestria, vasta scelta di pietanze. Ottima cena"
"2024-09-19","en","OTHER","Poor taste of food,  but astonishing views, service and atmosphere. Overpriced","9593555","2024-09","SOLO","2","The menu sets a high expectation for the quality of food - the expectation of fine dining, of taste pleasures.

Unfortunately the expectation for food taste was not met:
- sushi had a dull taste, poorer than average (one of the worst that i tried) 
- tom-yam not impressive

By contrast with the food:

- The views are astonishing, from the rooftop terrace the view on lower districts of the city is magnificent.
-  Very pleasing atmosphere (music, decor, etc.)
- Service is good (attentive and speedy),  much better than the quality of food ...

So, general feel of disbalance:

excellent views, service, atmosphere, alluring menu

and totally disappointing quality of food.... which makes the whole experience not worth the price tag. 

Replace the chef to regain the balance"
"2024-08-12","en","OTHER","Would not give it more than 3 stars","9593555","2024-08","SOLO","3","I wouldn’t give it more than 3 stars, the music was not the best, not sure how it’s been described as one of the best. The customer service was fine."
"2024-08-08","en","OTHER","Exceptional Experience!!!","9593555","2024-07","FRIENDS","5","Stunning city views, delicious food, and vibrant music—perfect for a special night out. The cocktails are exceptional, especially when crafted by Serghei."
"2024-08-07","en","OTHER","The best restaurant in Moldova","9593555","2024-08","FRIENDS","5","Great service, extremely helpful staff and overall a memorable experience. The food is amazing. I gladly recommend ZAXI to all my friends if they are looking for a really special dinner."
